dist_km,lat,lon
0.000,28.276500,85.519400
0.400,28.279704,85.517542
0.800,28.282907,85.515684
1.200,28.286111,85.513825
1.600,28.289314,85.511967
2.000,28.292518,85.510109
2.400,28.295722,85.508251
2.800,28.298925,85.506392
3.200,28.302129,85.504534
3.600,28.305190,85.502416
4.000,28.307685,85.499825
4.400,28.310751,85.497732
4.800,28.313158,85.494997
5.200,28.314826,85.491417
5.600,28.317181,85.488427
6.000,28.320324,85.488701
6.400,28.323370,85.486653
6.800,28.326462,85.484815
7.200,28.329804,85.485427
7.600,28.332204,85.484194
8.000,28.332535,85.480125
8.400,28.332867,85.476055
8.800,28.333198,85.471986
9.200,28.333530,85.467916
9.600,28.333861,85.463847
10.000,28.334192,85.459777
10.400,28.334524,85.455707
10.800,28.334855,85.451638
11.200,28.335187,85.447568
11.600,28.335518,85.443499
12.000,28.335607,85.439458
12.400,28.334147,85.435755
12.800,28.331674,85.433088
13.200,28.330140,85.429512
13.600,28.330370,85.425545
14.000,28.329692,85.421583
14.400,28.327583,85.418420
14.800,28.326744,85.414844
15.200,28.323547,85.413191
15.600,28.320049,85.413700
16.000,28.316631,85.414324
16.400,28.313085,85.413647
16.800,28.309677,85.412444
17.200,28.307391,85.409873
17.600,28.304770,85.407692
18.000,28.302472,85.404711
18.400,28.300666,85.401472
18.800,28.298732,85.398457
19.200,28.295545,85.397386
19.600,28.292548,85.395268
20.000,28.289654,85.393122
20.400,28.287656,85.389821
20.800,28.285528,85.386833
21.200,28.283157,85.384011
21.600,28.280971,85.381064
22.000,28.278706,85.378100
22.400,28.275838,85.377186
22.800,28.272305,85.377567
23.200,28.269037,85.376543
23.600,28.266082,85.374707
24.000,28.263476,85.372682
24.400,28.260843,85.370566
24.800,28.258585,85.367551
25.200,28.256283,85.365460
25.600,28.252719,85.365043
26.000,28.249315,85.364737
26.400,28.246220,85.362820
26.800,28.244124,85.359525
27.200,28.240899,85.358207
27.600,28.237354,85.357938
28.000,28.234297,85.359673
28.400,28.230831,85.360528
28.800,28.227297,85.361003
29.200,28.223729,85.360931
29.600,28.221005,85.358702
30.000,28.218210,85.356196
30.400,28.215022,85.354662
30.800,28.211491,85.354374
31.200,28.207956,85.354402
31.600,28.204699,85.353858
32.000,28.201268,85.352770
32.400,28.197839,85.351720
32.800,28.194689,85.349981
33.200,28.191416,85.348519
33.600,28.188328,85.346436
34.000,28.185204,85.344792
34.400,28.182031,85.343283
34.800,28.178634,85.342765
35.200,28.175100,85.342818
35.600,28.171561,85.342692
36.000,28.168010,85.342426
36.400,28.164746,85.341919
36.800,28.162980,85.338624
37.200,28.159917,85.337377
37.600,28.158455,85.333737
38.000,28.156189,85.330657
38.400,28.153591,85.327849
38.800,28.151275,85.324928
39.200,28.149512,85.321573
39.600,28.147752,85.318236
40.000,28.145738,85.315081
40.400,28.143390,85.312995
40.800,28.141582,85.311142
41.200,28.140855,85.307791
41.600,28.138139,85.305147
42.000,28.134957,85.303275
42.400,28.132295,85.300908
42.800,28.129094,85.299912
43.200,28.126405,85.297345
43.600,28.124394,85.294068
44.000,28.122103,85.291198
44.400,28.119564,85.288511
44.800,28.117544,85.285311
45.200,28.115197,85.282556
45.600,28.112361,85.280175
46.000,28.110134,85.277290
46.400,28.107779,85.274660
46.800,28.105595,85.271788
