dist_km,lat,lon,elev_m
0.000,28.276500,85.519400,4928.0
0.400,28.279704,85.517542,4551.0
0.800,28.282907,85.515684,4087.0
1.200,28.286111,85.513825,4000.0
1.600,28.289314,85.511967,3819.0
2.000,28.292518,85.510109,3756.0
2.400,28.295722,85.508251,3734.0
2.800,28.298925,85.506392,3698.0
3.200,28.302129,85.504534,3614.0
3.600,28.305190,85.502416,3506.0
4.000,28.307685,85.499825,3482.0
4.400,28.310751,85.497732,3450.0
4.800,28.313158,85.494997,3428.0
5.200,28.314826,85.491417,3360.0
5.600,28.317181,85.488427,3230.0
6.000,28.320324,85.488701,3160.0
6.400,28.323370,85.486653,3083.0
6.800,28.326462,85.484815,3028.0
7.200,28.329804,85.485427,2955.0
7.600,28.332204,85.484194,2922.0
8.000,28.332535,85.480125,2872.0
8.400,28.332867,85.476055,2825.0
8.800,28.333198,85.471986,2799.0
9.200,28.333530,85.467916,2804.0
9.600,28.333861,85.463847,2817.0
10.000,28.334192,85.459777,2774.0
10.400,28.334524,85.455707,2697.0
10.800,28.334855,85.451638,2576.0
11.200,28.335187,85.447568,2493.0
11.600,28.335518,85.443499,2432.0
12.000,28.335607,85.439458,2395.0
12.400,28.334147,85.435755,2350.0
12.800,28.331674,85.433088,2326.0
13.200,28.330140,85.429512,2287.0
13.600,28.330370,85.425545,2269.0
14.000,28.329692,85.421583,2239.0
14.400,28.327583,85.418420,2217.0
14.800,28.326744,85.414844,2214.0
15.200,28.323547,85.413191,2218.0
15.600,28.320049,85.413700,2197.0
16.000,28.316631,85.414324,2226.0
16.400,28.313085,85.413647,2143.0
16.800,28.309677,85.412444,2134.0
17.200,28.307391,85.409873,2105.0
17.600,28.304770,85.407692,2083.0
18.000,28.302472,85.404711,2047.0
18.400,28.300666,85.401472,2029.0
18.800,28.298732,85.398457,1988.0
19.200,28.295545,85.397386,2045.0
19.600,28.292548,85.395268,2141.0
20.000,28.289654,85.393122,1936.0
20.400,28.287656,85.389821,1903.0
20.800,28.285528,85.386833,1885.0
21.200,28.283157,85.384011,1902.0
21.600,28.280971,85.381064,1835.0
22.000,28.278706,85.378100,1832.0
22.400,28.275838,85.377186,1775.0
