dist_km,lat,lon,elev_m
0.000,30.373300,79.731700,5655.0
0.400,30.376862,79.732286,5259.0
0.800,30.380423,79.732872,4973.0
1.200,30.383985,79.733459,4745.0
1.600,30.387473,79.734334,4563.0
2.000,30.390877,79.735615,4276.0
2.400,30.394313,79.736808,4085.0
2.800,30.397567,79.738525,3883.0
3.200,30.400889,79.738136,3739.0
3.600,30.403736,79.736194,3649.0
4.000,30.405349,79.732714,3593.0
4.400,30.407115,79.729317,3548.0
4.800,30.410236,79.727812,3504.0
5.200,30.412984,79.725547,3453.0
5.600,30.416132,79.724064,3378.0
6.000,30.419576,79.723256,3299.0
6.400,30.422468,79.721331,3227.0
6.800,30.425732,79.722942,3166.0
7.200,30.429198,79.723325,3078.0
7.600,30.432417,79.724170,3059.0
8.000,30.435905,79.724594,2986.0
8.400,30.439312,79.725373,2852.0
8.800,30.442495,79.727254,2795.0
9.200,30.445455,79.729000,2754.0
9.600,30.448627,79.730854,2732.0
10.000,30.451791,79.732675,2648.0
10.400,30.454612,79.734925,2683.0
10.800,30.458071,79.735405,2589.0
11.200,30.461501,79.735184,2473.0
11.600,30.464683,79.733755,2384.0
12.000,30.466604,79.730890,2354.0
12.400,30.468745,79.727586,2302.0
12.800,30.469401,79.723489,2268.0
13.200,30.468825,79.719629,2236.0
13.600,30.467962,79.715717,2181.0
14.000,30.469176,79.712171,2150.0
14.400,30.470305,79.708239,2093.0
14.800,30.472747,79.705211,2119.0
15.200,30.475231,79.702320,2117.0
15.600,30.477900,79.699555,2023.0
16.000,30.480563,79.697010,2004.0
16.400,30.483614,79.695110,1974.0
16.800,30.486349,79.692552,1950.0
17.200,30.487624,79.689001,1940.0
17.600,30.488177,79.684996,1901.0
18.000,30.487814,79.680945,1903.0
18.400,30.489032,79.677156,1887.0
18.800,30.488747,79.673016,1869.0
19.200,30.489403,79.668984,1863.0
19.600,30.489669,79.664961,1848.0
20.000,30.489839,79.661121,1842.0
20.400,30.489856,79.657063,1847.0
20.800,30.490222,79.652963,1829.0
21.200,30.491791,79.649373,1829.0
21.600,30.492105,79.645291,1805.0
22.000,30.492962,79.641341,1800.0
22.400,30.493573,79.637548,1815.0
22.800,30.492518,79.633730,1798.0
23.200,30.493485,79.629899,1798.0
23.600,30.494226,79.626153,1790.0
24.000,30.496187,79.622740,1780.0
24.400,30.499568,79.623611,1774.0
24.800,30.502415,79.621126,1754.0
25.200,30.505472,79.619054,1753.0
25.600,30.508247,79.616729,1732.0
26.000,30.511351,79.615119,1779.0
26.400,30.514445,79.613366,1721.0
26.800,30.517619,79.611450,1708.0
27.200,30.520747,79.609478,1702.0
27.600,30.524310,79.609398,1713.0
28.000,30.527414,79.607538,1687.0
28.400,30.530344,79.605308,1696.0
28.800,30.533309,79.603319,1675.0
29.200,30.536542,79.601583,1637.0
29.600,30.538543,79.598154,1626.0
30.000,30.540971,79.595148,1608.0
30.400,30.543912,79.592871,1559.0
30.800,30.546700,79.590232,1536.0
31.200,30.549518,79.587635,1528.0
31.600,30.552656,79.585735,1493.0
32.000,30.555522,79.583356,1481.0
32.400,30.557976,79.580468,1460.0
