dist_km,lat,lon,elev_m
0.000,28.525000,84.079000,6886.0
0.400,28.524144,84.075024,6556.0
0.800,28.523287,84.071047,5895.0
1.200,28.522431,84.067071,5478.0
1.600,28.521574,84.063094,5254.0
2.000,28.520718,84.059118,5075.0
2.400,28.519861,84.055141,4925.0
2.800,28.519005,84.051165,4756.0
3.200,28.518148,84.047189,4570.0
3.600,28.517620,84.043590,4427.0
4.000,28.515437,84.040348,4304.0
4.400,28.513749,84.036776,4192.0
4.800,28.512756,84.032921,4098.0
5.200,28.514245,84.029406,3973.0
5.600,28.512814,84.026016,3828.0
6.000,28.510614,84.022873,3635.0
6.400,28.508559,84.020148,3498.0
6.800,28.505591,84.020214,3347.0
7.200,28.503021,84.018186,3025.0
7.600,28.499578,84.018472,2891.0
8.000,28.496079,84.018670,2830.0
8.400,28.492890,84.018316,2851.0
8.800,28.489929,84.019897,1252.0
9.200,28.487194,84.020669,1230.0
9.600,28.485869,84.016864,1020.0
10.000,28.484545,84.013059,2031.0
10.400,28.483221,84.009254,3913.0
10.800,28.481896,84.005448,3947.0
11.200,28.480572,84.001643,4042.0
11.600,28.477976,84.000322,3818.0
12.000,28.474413,84.000888,3191.0
12.400,28.470850,84.001455,3082.0
12.800,28.467288,84.002021,3110.0
13.200,28.463725,84.002588,3330.0
13.600,28.460163,84.003154,3226.0
14.000,28.456600,84.003721,2748.0
14.400,28.453037,84.004287,2491.0
14.800,28.449475,84.004854,2386.0
15.200,28.446403,84.003963,2128.0
15.600,28.445403,84.000342,1894.0
16.000,28.444687,83.996366,2370.0
16.400,28.444159,83.992319,2730.0
16.800,28.443632,83.988272,2897.0
17.200,28.443104,83.984225,2896.0
17.600,28.442412,83.980305,2913.0
18.000,28.439123,83.979978,2439.0
18.400,28.436107,83.981457,2282.0
18.800,28.432585,83.982293,2482.0
19.200,28.429064,83.983129,2553.0
19.600,28.425543,83.983965,2459.0
20.000,28.422021,83.984801,2197.0
20.400,28.418500,83.985638,1927.0
20.800,28.416097,83.987570,1686.0
21.200,28.414810,83.984916,1816.0
21.600,28.414050,83.980918,1982.0
22.000,28.413289,83.976921,2111.0
22.400,28.412528,83.972924,2408.0
22.800,28.411767,83.968926,2662.0
23.200,28.411006,83.964929,2914.0
23.600,28.410245,83.960932,3091.0
24.000,28.409484,83.956934,3096.0
24.400,28.406419,83.955629,2825.0
24.800,28.402932,83.954781,2607.0
25.200,28.399598,83.954151,2381.0
25.600,28.396606,83.954515,2222.0
26.000,28.393609,83.956296,2028.0
26.400,28.390791,83.958415,1898.0
26.800,28.387668,83.960076,1782.0
27.200,28.386273,83.963695,1628.0
27.600,28.385315,83.967586,1492.0
28.000,28.382546,83.969681,1425.0
28.400,28.379506,83.971299,1362.0
28.800,28.376440,83.971116,1323.0
29.200,28.372886,83.970483,1319.0
29.600,28.369332,83.969851,1345.0
30.000,28.365778,83.969219,1309.0
30.400,28.362695,83.968162,1295.0
30.800,28.361573,83.965011,1270.0
31.200,28.358754,83.962472,1310.0
31.600,28.355935,83.959932,1323.0
32.000,28.352999,83.958560,1209.0
32.400,28.349741,83.957848,1233.0
32.800,28.347534,83.960255,1190.0
33.200,28.344019,83.960057,1184.0
33.600,28.340718,83.959284,1173.0
34.000,28.337380,83.959740,1165.0
34.400,28.334118,83.960354,1156.0
34.800,28.331144,83.958695,1146.0
35.200,28.327803,83.959335,1137.0
35.600,28.324363,83.959111,1126.0
36.000,28.321361,83.957096,1122.0
36.400,28.317851,83.956723,1119.0
36.800,28.315202,83.954227,1109.0
37.200,28.311762,83.954365,1096.0
37.600,28.309039,83.952184,1090.0
38.000,28.307696,83.948667,1080.0
38.400,28.304549,83.946817,1072.0
38.800,28.303218,83.943567,1065.0
39.200,28.300011,83.942073,1057.0
39.600,28.298858,83.938250,1048.0
40.000,28.297582,83.934714,1043.0
40.400,28.294548,83.934901,1032.0
40.800,28.292548,83.932627,1023.0
41.200,28.290097,83.935396,1018.0
41.600,28.287225,83.937145,1011.0
42.000,28.284610,83.938225,1004.0
42.400,28.283632,83.941656,995.0
42.800,28.282399,83.945094,989.0
43.200,28.280191,83.947909,983.0
43.600,28.278395,83.951339,977.0
44.000,28.275923,83.954037,981.0
44.400,28.272615,83.954779,964.0
44.800,28.269853,83.956983,958.0
45.200,28.266656,83.958080,949.0
45.600,28.263923,83.960445,945.0
46.000,28.260369,83.960583,936.0
46.400,28.258506,83.963856,932.0
46.800,28.255896,83.966332,928.0
47.200,28.252878,83.968522,922.0
47.600,28.250977,83.971713,918.0
48.000,28.248922,83.974975,913.0
48.400,28.250709,83.978436,909.0
48.800,28.248411,83.979703,897.0
49.200,28.246958,83.982956,892.0
49.600,28.245470,83.986218,890.0
50.000,28.245351,83.990043,921.0
50.400,28.242953,83.993052,910.0
50.800,28.239851,83.994368,858.0
51.200,28.236359,83.993610,850.0
51.600,28.233254,83.992692,851.0
52.000,28.229938,83.992812,884.0
52.400,28.226405,83.992080,887.0
52.800,28.222820,83.991743,877.0
53.200,28.219256,83.992195,863.0
53.600,28.216255,83.994070,815.0
54.000,28.213770,83.993982,808.0
54.400,28.210785,83.992857,845.0
