dist_km,width_m
0.000,25
0.400,2000
0.800,2090
1.200,90
1.600,2060
2.000,2125
2.400,2600
2.800,2450
3.200,660
3.600,155
4.000,25
4.400,25
4.800,185
5.200,330
5.600,330
6.000,25
6.400,25
6.800,25
7.200,25
7.600,155
8.000,25
8.400,25
8.800,25
9.200,25
9.600,25
10.000,25
10.400,90
10.800,25
11.200,25
11.600,800
12.000,25
12.400,25
12.800,90
13.200,120
13.600,60
14.000,120
14.400,90
14.800,120
15.200,120
15.600,240
16.000,215
16.400,205
16.800,150
17.200,150
17.600,90
18.000,330
18.400,270
18.800,265
19.200,250
19.600,215
20.000,175
20.400,265
20.800,235
21.200,235
21.600,155
22.000,90
22.400,120
22.800,215
23.200,215
23.600,185
24.000,150
24.400,265
24.800,205
25.200,205
25.600,205
26.000,175
26.400,215
26.800,205
27.200,185
27.600,150
28.000,155
28.400,390
28.800,235
29.200,205
29.600,215
30.000,235
30.400,205
30.800,215
31.200,300
31.600,300
32.000,235
32.400,330
32.800,300
33.200,300
33.600,185
34.000,185
34.400,265
34.800,330
35.200,505
35.600,150
36.000,300
36.400,270
36.800,250
37.200,250
37.600,365
38.000,300
38.400,185
38.800,215
39.200,235
39.600,265
40.000,300
40.400,300
40.800,350
41.200,365
41.600,350
42.000,330
42.400,330
42.800,455
43.200,415
43.600,350
44.000,250
44.400,2600
44.800,1950
45.200,365
45.600,250
46.000,265
46.400,205
46.800,2200
47.200,3000
47.600,3000
48.000,215
48.400,365
48.800,265
49.200,3000
49.600,3000
