run,km,model,fit,p10,p90,n_points,inside,scored
"v10b pass (160 Mm3, 4% water)",0.9,336.37,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.0,336.62,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.1,336.87,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.2,337.12,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.3,320.83,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.4,304.53,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.5,288.24,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.6,271.95,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.7,264.49,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.8,257.04,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",1.9,249.59,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",2.0,242.14,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",2.1,239.96,237.90,128.20,363.60,5,1,1
"v10b pass (160 Mm3, 4% water)",11.3,226.12,138.80,88.40,164.90,6,0,1
"v10b pass (160 Mm3, 4% water)",11.4,224.90,138.80,100.50,179.40,8,0,1
"v10b pass (160 Mm3, 4% water)",11.5,223.68,138.80,79.80,179.40,10,0,1
"v10b pass (160 Mm3, 4% water)",11.6,222.46,138.80,66.90,196.50,12,0,1
"v10b pass (160 Mm3, 4% water)",11.7,220.40,138.80,65.70,194.40,14,0,1
"v10b pass (160 Mm3, 4% water)",11.8,218.33,138.80,66.00,191.50,16,0,1
"v10b pass (160 Mm3, 4% water)",11.9,216.27,142.00,66.20,190.00,17,0,1
"v10b pass (160 Mm3, 4% water)",12.0,214.21,148.70,66.40,188.60,18,0,1
"v10b pass (160 Mm3, 4% water)",12.1,212.54,142.00,66.50,187.10,19,0,1
"v10b pass (160 Mm3, 4% water)",12.2,210.87,148.70,66.70,185.70,20,0,1
"v10b pass (160 Mm3, 4% water)",12.3,209.20,145.40,68.20,183.60,22,0,1
"v10b pass (160 Mm3, 4% water)",12.4,207.53,145.40,71.00,182.30,24,0,1
"v10b pass (160 Mm3, 4% water)",12.5,207.63,145.40,73.70,181.10,26,0,1
"v10b pass (160 Mm3, 4% water)",12.6,207.74,145.40,76.50,179.90,28,0,1
"v10b pass (160 Mm3, 4% water)",12.7,207.84,152.10,79.20,178.60,30,0,1
"v10b pass (160 Mm3, 4% water)",12.8,207.94,149.00,80.60,178.00,31,0,1
"v10b pass (160 Mm3, 4% water)",12.9,209.43,148.90,80.70,177.90,32,0,1
"v10b pass (160 Mm3, 4% water)",13.0,210.91,148.80,80.90,177.80,33,0,1
"v10b pass (160 Mm3, 4% water)",13.1,212.40,145.40,80.70,177.90,32,0,1
"v10b pass (160 Mm3, 4% water)",13.2,213.88,149.00,82.20,181.40,31,0,1
