km,bed,stage_fit,A,W_top,W_eq,hma,W_top_5,W_top_10,W_top_20
40.0,1330.0,68.0,7139,192,105,1,40,48,64
40.1,1328.7,67.5,5930,144,88,1,40,48,64
40.2,1327.5,67.0,6294,152,94,1,40,40,56
40.3,1324.1,66.2,6075,160,92,1,32,48,80
40.4,1341.7,65.7,5503,160,84,1,24,40,72
40.5,1360.6,65.2,16717,352,256,1,32,48,80
40.6,1345.9,64.7,8320,232,129,1,24,40,64
40.7,1337.3,64.2,6544,184,102,1,32,48,80
40.8,1330.2,63.7,6397,208,100,1,24,40,48
40.9,1320.6,63.2,7095,208,112,1,40,48,88
41.0,1315.6,62.7,5318,168,85,1,40,56,56
41.1,1317.4,62.2,5092,152,82,1,40,40,56
41.2,1317.1,60.9,7358,176,121,1,80,88,96
41.3,1317.0,60.9,4774,136,78,1,24,24,56
41.4,1317.4,59.5,4700,112,79,1,16,16,72
41.5,1315.3,59.5,5991,144,101,1,56,80,96
41.6,1316.0,49.0,3521,120,72,1,48,56,64
41.7,1334.9,49.0,4310,168,88,1,16,32,56
41.8,1313.7,49.0,3381,104,69,1,40,48,72
41.9,1315.2,49.0,4220,144,86,1,48,48,80
42.0,1314.9,49.0,4182,120,85,1,32,64,88
42.1,1312.5,49.0,6196,176,126,1,80,96,120
42.2,1313.3,38.6,4046,152,105,1,32,88,120
42.3,1312.2,38.6,6456,192,167,1,144,152,168
42.4,1310.0,51.3,7855,200,153,1,80,96,168
42.5,1301.2,51.3,4884,160,95,1,40,56,72
42.6,1290.0,64.1,5903,152,92,1,32,56,72
42.7,1275.7,59.7,4317,128,72,1,16,56,72
42.8,1289.8,55.4,2759,120,50,1,16,24,32
42.9,1259.3,55.4,4272,128,77,1,24,32,64
43.0,1253.8,55.4,4216,112,76,1,32,48,72
43.1,1246.5,55.4,3462,112,62,1,32,32,40
43.2,1244.2,66.2,5894,136,89,1,48,48,72
43.3,1240.0,77.3,7068,160,91,1,40,48,56
43.4,1235.9,86.8,7172,184,83,1,8,8,32
43.5,1233.3,90.7,9762,216,108,1,24,24,56
43.6,1235.6,86.8,9824,200,113,1,24,56,80
43.7,1228.2,83.4,9517,192,114,1,32,40,48
43.8,1245.1,77.3,8485,168,110,1,40,48,72
43.9,1251.2,77.3,8405,184,109,1,40,40,64
44.0,1220.9,71.8,5313,160,74,1,32,32,48
44.1,1229.1,74.9,6691,144,89,1,32,32,48
44.2,1242.0,73.3,7922,184,108,1,40,56,72
44.3,1211.8,74.9,6363,160,85,1,24,40,48
44.4,1223.7,74.9,4149,144,55,1,8,8,16
44.5,1217.0,73.3,4294,128,59,1,16,24,32
44.6,1248.3,71.8,8195,200,114,1,48,64,88
44.7,1248.9,73.3,12454,288,170,1,16,88,120
44.8,1239.9,71.8,9953,256,139,1,40,64,80
44.9,1233.9,73.3,13233,312,181,1,24,64,120
45.0,1201.4,73.3,6371,224,87,1,32,32,40
45.1,1199.7,73.3,8638,224,118,1,48,56,80
45.2,1195.2,71.8,7622,184,106,1,40,56,80
45.3,1193.3,71.6,7072,176,99,1,40,40,64
45.4,1193.9,70.0,5694,152,81,1,16,16,64
45.5,1221.0,70.0,9016,224,129,1,48,64,72
45.6,1198.4,67.0,5008,144,75,1,8,8,24
45.7,1210.8,65.8,7321,216,111,1,32,48,72
45.8,1196.1,67.7,11704,400,173,1,8,8,16
45.9,1189.8,67.7,10655,280,157,1,64,72,96
46.0,1186.5,67.7,10112,272,149,1,64,72,96
46.1,1194.1,67.7,10122,304,150,1,48,64,104
46.2,1181.5,65.1,8105,248,125,1,8,8,80
46.3,1180.4,64.6,7349,192,114,1,32,72,80
46.4,1180.3,64.6,6529,160,101,1,24,40,96
46.5,1200.9,65.5,7111,192,109,1,8,16,80
46.6,1172.4,65.9,3875,136,59,1,16,16,24
46.7,1203.8,65.9,9719,248,147,1,48,72,104
46.8,1172.4,68.8,4749,184,69,1,8,16,24
46.9,1164.1,67.7,4937,128,73,1,48,48,56
47.0,1155.4,67.7,6173,160,91,1,40,48,72
47.1,1147.5,67.0,4615,152,69,1,32,32,32
47.2,1142.6,67.7,5088,144,75,1,32,32,40
47.3,1133.6,67.7,3634,152,54,1,8,8,8
47.4,1134.2,67.7,4199,120,62,1,8,16,16
47.5,1151.6,67.0,6785,136,101,1,48,56,80
47.6,1126.4,67.0,2607,112,39,1,8,8,8
47.7,1169.6,68.6,6375,160,93,1,32,40,72
47.8,1160.4,69.5,5375,184,77,1,8,8,24
47.9,1174.6,67.7,8148,232,120,1,16,16,24
48.0,1113.0,66.3,4140,120,62,1,16,24,48
48.1,1104.9,64.6,2745,96,42,1,32,32,32
48.2,1100.6,63.6,2140,80,34,1,16,16,24
48.3,1121.1,60.7,7079,200,117,1,8,64,72
48.4,1107.5,60.6,6998,192,115,1,32,56,104
48.5,1086.3,60.5,3927,128,65,1,32,32,40
48.6,1084.1,57.1,3444,120,60,1,16,32,32
48.7,1082.1,57.0,4439,160,78,1,16,24,40
48.8,1081.3,56.0,5333,160,95,1,32,40,72
48.9,1079.3,55.8,4837,176,87,1,40,40,64
49.0,1077.3,55.8,5979,192,107,1,32,40,88
49.1,1078.2,55.6,4405,160,79,1,16,16,24
49.2,1074.2,54.8,4499,152,82,1,40,48,64
49.3,1077.2,52.6,3221,136,61,1,8,8,16
49.4,1071.7,53.3,4715,160,88,1,40,48,64
49.5,1066.7,52.6,5101,152,97,1,48,64,80
49.6,1062.8,54.0,6131,176,114,1,48,56,112
49.7,1059.9,52.4,4569,144,87,1,64,64,64
49.8,1057.7,50.9,4968,136,98,1,56,80,88
49.9,1056.3,48.2,5488,152,114,1,56,72,104
50.0,1054.3,47.1,5006,144,106,1,64,88,96
50.1,1053.2,46.0,4138,136,90,1,56,56,80
50.2,1051.4,45.3,3906,152,86,0,64,64,72
50.3,1048.4,44.6,4794,152,107,1,80,88,104
50.4,1046.9,46.0,4627,136,101,1,96,96,96
50.5,1043.8,46.0,6679,184,145,1,40,144,160
50.6,1042.4,48.2,7306,208,152,1,64,128,160
50.7,1039.5,48.2,6135,184,127,1,80,104,120
50.8,1037.0,43.0,5371,200,125,1,72,96,112
50.9,1035.3,40.3,5403,192,134,1,88,104,144
51.0,1032.7,40.3,5579,208,138,1,80,96,144
51.1,1031.1,37.0,4897,200,132,1,80,104,152
51.2,1025.7,37.0,2921,128,79,1,48,56,80
51.3,1022.7,39.6,3382,120,85,1,56,64,88
51.4,1019.7,30.4,2330,112,77,1,48,64,96
51.5,1014.5,30.4,1737,80,57,1,48,48,64
51.6,1015.0,38.9,3338,128,86,1,56,64,88
51.7,1012.9,29.0,3435,152,118,1,104,120,136
51.8,1013.2,28.1,5420,248,193,1,160,184,224
51.9,1009.7,28.0,5492,264,196,1,152,184,240
52.0,1006.6,27.9,4953,256,178,1,88,184,224
52.1,1001.7,27.7,4793,264,173,1,80,144,232
52.2,999.0,27.6,5043,256,183,1,136,168,224
52.3,997.6,27.5,4347,200,158,1,80,176,200
52.4,995.6,27.4,2786,192,102,1,56,72,144
52.5,993.5,27.2,2424,144,89,1,48,64,120
52.6,991.2,27.1,1741,112,64,1,40,48,80
52.7,988.7,27.0,1709,120,63,1,40,48,88
52.8,979.8,26.9,2819,128,105,1,88,104,120
52.9,974.7,26.8,2485,136,93,1,80,88,120
53.0,969.8,26.6,2569,144,96,1,56,88,128
53.1,966.7,26.5,3246,168,122,1,96,112,144
53.2,963.1,26.4,2278,128,86,1,64,80,104
53.3,958.6,26.3,2566,168,98,1,64,88,128
53.4,951.7,26.2,2527,128,97,1,80,96,120
53.5,942.2,26.0,2301,128,88,1,64,80,112
53.6,935.1,25.9,2117,128,82,1,48,64,104
53.7,931.1,25.8,2141,128,83,1,64,72,104
53.8,925.6,25.7,2108,128,82,1,48,64,112
53.9,922.7,25.5,2081,128,81,1,48,72,120
54.0,918.9,25.4,2452,136,96,1,80,96,120
54.1,916.0,25.3,2830,160,112,1,80,104,144
54.2,910.1,25.2,2337,168,93,1,56,72,136
54.3,906.0,25.1,2452,200,98,1,48,64,168
54.4,902.1,24.9,2628,192,105,1,56,64,176
54.5,898.6,24.8,2824,224,114,1,48,64,192
54.6,895.1,24.7,3682,256,149,1,64,72,240
54.7,891.6,24.7,2512,184,102,1,56,72,160
54.8,888.6,24.7,2031,144,82,1,24,40,128
54.9,885.8,23.6,2124,136,90,1,80,88,112
55.0,882.3,23.6,2520,176,107,1,80,96,144
55.1,878.1,23.6,3364,200,143,1,112,128,200
55.2,872.4,24.8,2879,184,116,1,72,96,152
55.3,870.1,24.8,2977,208,120,1,56,128,160
55.4,856.2,24.9,199,8,8,1,8,8,8
55.5,863.8,24.9,3115,208,125,1,32,40,208
55.6,863.7,24.8,3048,160,123,1,96,128,144
55.7,857.6,24.7,1148,112,46,1,16,16,96
55.8,860.0,24.9,2366,152,95,1,56,88,128
