km,stage_fit,fit_p10,fit_p90,n_points
0.9,237.9,128.2,363.6,5
1.0,237.9,128.2,363.6,5
1.1,237.9,128.2,363.6,5
1.2,237.9,128.2,363.6,5
1.3,237.9,128.2,363.6,5
1.4,237.9,128.2,363.6,5
1.5,237.9,128.2,363.6,5
1.6,237.9,128.2,363.6,5
1.7,237.9,128.2,363.6,5
1.8,237.9,128.2,363.6,5
1.9,237.9,128.2,363.6,5
2.0,237.9,128.2,363.6,5
2.1,237.9,128.2,363.6,5
11.3,138.8,88.4,164.9,6
11.4,138.8,100.5,179.4,8
11.5,138.8,79.8,179.4,10
11.6,138.8,66.9,196.5,12
11.7,138.8,65.7,194.4,14
11.8,138.8,66.0,191.5,16
11.9,142.0,66.2,190.0,17
12.0,148.7,66.4,188.6,18
12.1,142.0,66.5,187.1,19
12.2,148.7,66.7,185.7,20
12.3,145.4,68.2,183.6,22
12.4,145.4,71.0,182.3,24
12.5,145.4,73.7,181.1,26
12.6,145.4,76.5,179.9,28
12.7,152.1,79.2,178.6,30
12.8,149.0,80.6,178.0,31
12.9,148.9,80.7,177.9,32
13.0,148.8,80.9,177.8,33
13.1,145.4,80.7,177.9,32
13.2,149.0,82.2,181.4,31
13.3,148.8,80.9,180.7,33
13.4,148.8,80.9,180.7,33
13.5,137.7,80.9,177.8,33
13.6,136.4,85.4,177.2,30
13.7,137.4,91.9,176.1,29
13.8,136.2,91.0,175.9,30
13.9,137.4,90.5,176.1,29
14.0,135.1,90.5,176.1,29
14.1,135.0,89.9,176.2,28
14.2,135.1,90.5,176.1,29
14.3,137.4,91.6,175.8,31
14.4,140.1,93.4,177.1,31
14.5,138.7,97.0,176.1,30
14.6,138.7,95.8,172.6,28
14.7,136.1,95.8,171.7,28
14.8,134.9,96.4,170.7,29
14.9,134.9,96.4,170.7,29
15.0,134.9,96.4,170.7,29
15.1,134.5,90.0,171.7,28
15.2,133.3,90.0,168.4,28
15.3,131.8,91.1,168.3,30
15.4,132.5,96.4,168.4,29
15.5,133.3,101.9,168.4,28
15.6,134.2,103.7,168.6,25
15.7,133.3,103.3,168.6,24
15.8,133.3,103.3,168.6,24
15.9,134.2,108.4,168.7,23
16.0,134.2,108.4,166.1,23
16.1,134.2,105.9,168.3,21
16.2,133.3,107.1,167.2,22
16.3,131.1,105.9,157.3,21
16.4,127.8,104.8,154.5,18
16.5,130.8,105.1,154.5,19
16.6,122.9,103.2,148.4,18
16.7,121.8,103.5,146.7,20
16.8,121.4,103.5,145.6,20
16.9,117.5,103.1,140.6,20
17.0,116.4,102.3,139.7,22
17.1,116.4,97.6,144.4,23
17.2,116.4,102.4,144.4,23
17.3,116.4,102.3,145.0,22
