arm,km,layer,x,y,bed_raw,bed,bed_env,status_L,d_L,lon_L,lat_L,z_L,slope_L,sig_L,stage_L,flags_L,status_R,d_R,lon_R,lat_R,z_R,slope_R,sig_R,stage_R,flags_R,stage,stage_n,width,Rc,turn_deg,outer,dh,dh_sig,v_super,v_lo,v_hi,v_quality,A,Q,Fr,valid_frac,changed_L,changed_R,d_pre_L,d_pre_R,d_start_L,d_start_R,d_last_L,d_last_R,prebare_L,prebare_R,outlier_L,outlier_R,dem_src_L,dem_src_R,bridged
main,0.00,s2,354788.0,3128721.3,4829.233,4829.233,4829.233,open,,,,,,,,,open,,,,,,,,,,0,,,0.00,,,,,,,,,,,1.00,,,,,0.00,0.00,600.0,600.0,,,,,,,0
main,0.00,s2chg,354788.0,3128721.3,4829.233,4829.233,4829.233,ok,125.0,85.518312,28.276005,4894.5,0.88,16.15,65.288086,no-change-in-run,open,,,,,,,,,,0,,,0.00,,,,,,,,,,,1.00,0,,95.0,,0.00,0.00,,600.0,0,,,,0,,0
main,0.10,s2,354743.5,3128810.6,4760.2935,4760.2935,4760.2935,ok,55.0,85.518482,28.277095,4797.0,0.92,14.22,36.688477,no-change-in-run,open,,,,,,,,,,0,,,0.00,,,,,,,,,,,1.00,0,,45.00,,0.00,0.00,,600.0,0,,,,1,,0
main,0.10,s2chg,354743.5,3128810.6,4760.2935,4760.2935,4760.2935,ok,55.0,85.518482,28.277095,4797.0,0.92,14.22,36.688477,no-change-in-run,open,,,,,,,,,,0,,,0.00,,,,,,,,,,,1.00,0,,45.00,,0.00,0.00,,600.0,0,,,,1,,0
main,0.20,s2,354699.0,3128899.9,4672.0376,4672.0376,4672.0376,ok,25.00,85.518290,28.278019,4695.1,1.40,21.38,23.036621,prebare-at-trim;no-change-in-run,open,,,,,,,,,,0,,,0.00,,,,,,,,,,,1.00,0,,25.00,,0.00,0.00,,600.0,1,,,,1,,0
main,0.20,s2chg,354699.0,3128899.9,4672.0376,4672.0376,4672.0376,ok,25.00,85.518290,28.278019,4695.1,1.40,21.38,23.036621,prebare-at-trim;no-change-in-run,ok,455.0,85.522552,28.279956,4986.8,0.82,12.66,314.79834,no-change-in-run,,0,480.0,,0.00,,,,,,,,,,,1.00,0,0,25.00,435.0,0.00,0.00,,,1,0,,,1,1,0
main,0.30,s2,354654.6,3128989.2,4593.032,4593.032,4593.032,ok,35.00,85.517735,28.278779,4611.9,0.66,10.27,18.888672,prebare-at-trim;no-change-in-run,ok,115.0,85.519004,28.279356,4718.7,1.11,17.05,125.620605,prebare-at-trim;no-change-in-run,,0,150.0,,0.00,,,,,,,,,,,1.00,0,0,35.00,115.0,0.00,0.00,,,1,1,,,1,1,0
main,0.30,s2chg,354654.6,3128989.2,4593.032,4593.032,4593.032,ok,35.00,85.517735,28.278779,4611.9,0.66,10.27,18.888672,prebare-at-trim;no-change-in-run,ok,115.0,85.519004,28.279356,4718.7,1.11,17.05,125.620605,prebare-at-trim;no-change-in-run,,0,150.0,,0.00,,,,,,,,,,,1.00,0,0,35.00,115.0,0.00,0.00,,,1,1,,,1,1,0
main,0.40,s2,354610.1,3129078.5,4529.1826,4529.1826,4529.1826,ok,115.0,85.516545,28.279250,4549.8,0.86,13.35,20.62207,no-change-in-run,ok,75.0,85.518177,28.279992,4598.7,2.28,34.69,69.48828,prebare-at-trim;no-change-in-run,,0,190.0,,0.00,,,,,,,,,,,1.00,0,0,105.0,75.0,0.00,0.00,,,0,1,,,1,1,0
main,0.40,s2chg,354610.1,3129078.5,4529.1826,4529.1826,4529.1826,ok,115.0,85.516545,28.279250,4549.8,0.86,13.35,20.62207,no-change-in-run,ok,75.0,85.518177,28.279992,4598.7,2.28,34.69,69.48828,prebare-at-trim;no-change-in-run,,0,190.0,,0.00,,,,,,,,,,,1.00,0,0,105.0,75.0,0.00,0.00,,,0,1,,,1,1,0
